Fecha,Caudal,Caudal_log
2015-10-12,2.205,1.1647120903726333
2015-10-13,2.114,1.1359080734118066
2015-10-14,2.336,1.2047724844965002
2015-10-15,2.454,1.239532979724487
2015-10-16,2.765,1.325747861251857
2015-10-17,2.508,1.2550460745099365
2015-10-18,2.257,1.1808065262940965
2015-10-19,2.085,1.126551657357351
2015-10-20,2.062,1.119068297235492
2015-10-21,1.983,1.0929295055326116
2015-10-22,1.96,1.085189268335969
2015-10-23,1.937,1.077388652216483
2015-10-24,1.925,1.0732944806838198
2015-10-25,1.88,1.0577902941478545
2015-10-26,1.851,1.0476698099305348
2015-10-27,1.988,1.094604267270571
2015-10-28,1.885,1.0595248999600628
2015-10-29,1.8655,1.0527428550096551
2015-10-30,1.846,1.0459144996676606
2015-10-31,1.9285,1.0744903465477
2015-11-01,2.011,1.102272249499597
2015-11-02,3.088,1.4080558529014033
2015-11-03,2.217,1.1684492482568893
2015-11-04,2.045,1.1135009011618604
2015-11-05,2.524,1.259596708073933
2015-11-06,3.237,1.4438554716444223
2015-11-07,4.07,1.623340817603092
2015-11-08,3.454,1.493802568835176
2015-11-09,2.656,1.2963696535919036
2015-11-10,2.348,1.208363152627229
2015-11-11,2.222,1.1700022847547826
2015-11-12,2.154,1.1486714885408467
2015-11-13,2.011,1.102272249499597
2015-11-14,1.931,1.0753436617287555
2015-11-15,1.874,1.0557047876568333
2015-11-16,1.836,1.0423946086698812
2015-11-17,2.647,1.293904911826543
2015-11-18,2.758,1.3238869009912735
2015-11-19,2.405,1.2252449396014757
2015-11-20,2.262,1.1823405041988222
2015-11-21,2.0,1.0986122886681098
2015-11-22,1.897,1.0636757187872135
2015-11-23,1.92,1.0715836162801904
2015-11-24,2.028,1.1079023355752025
2015-11-25,1.88,1.0577902941478545
2015-11-26,1.868,1.0536149227373741
2015-11-27,1.834,1.0416891412684888
2015-11-28,1.806,1.0317599816802692
2015-11-29,1.868,1.0536149227373741
2015-11-30,1.983,1.0929295055326116
2015-12-01,1.925,1.0732944806838198
2015-12-02,1.823,1.0378001492713522
2015-12-03,1.783,1.0235294825437538
2015-12-04,1.779,1.0220911507603667
2015-12-05,1.743,1.0090522119554663
2015-12-06,1.7,0.9932517730102833
2015-12-07,1.664,0.9798287526781427
2015-12-08,1.611,0.9597332897169918
2015-12-09,1.624,0.9646998710818426
2015-12-10,1.619,0.9627925655255749
2015-12-11,1.58,0.9477893989335261
2015-12-12,1.566,0.9423482661934447
2015-12-13,1.613,0.9604989865384754
2015-12-14,1.629,0.9666035457477442
2015-12-15,1.621,0.9635559243412692
2015-12-16,1.603,0.9566646260124283
2015-12-17,1.633,0.9681238805141723
2015-12-18,1.677,0.9846967645382154
