CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-10 00:00,m^3/s,3.926,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-11 00:00,m^3/s,3.774,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-12 00:00,m^3/s,4.027,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-13 00:00,m^3/s,4.004,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-14 00:00,m^3/s,7.169,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-15 00:00,m^3/s,5.445,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-16 00:00,m^3/s,3.881,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-17 00:00,m^3/s,3.965,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-18 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-19 00:00,m^3/s,3.736,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-20 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-21 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-22 00:00,m^3/s,2.885,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-23 00:00,m^3/s,2.885,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-24 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-25 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-26 00:00,m^3/s,3.627,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-27 00:00,m^3/s,3.169,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-28 00:00,m^3/s,3.318,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-29 00:00,m^3/s,4.643,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-04-30 00:00,m^3/s,4.395,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-01 00:00,m^3/s,3.868,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-02 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-03 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-04 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-05 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-06 00:00,m^3/s,3.387,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-07 00:00,m^3/s,3.441,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-08 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-09 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-10 00:00,m^3/s,3.461,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-11 00:00,m^3/s,4.097,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-12 00:00,m^3/s,3.807,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-13 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-14 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-15 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-16 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-17 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-18 00:00,m^3/s,3.105,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-19 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-20 00:00,m^3/s,3.206,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-21 00:00,m^3/s,3.444,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-22 00:00,m^3/s,3.178,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-23 00:00,m^3/s,3.151,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-24 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-25 00:00,m^3/s,3.192,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-26 00:00,m^3/s,3.382,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-27 00:00,m^3/s,5.112,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-28 00:00,m^3/s,3.99,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-29 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-30 00:00,m^3/s,3.441,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-05-31 00:00,m^3/s,3.655,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-01 00:00,m^3/s,3.746,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-02 00:00,m^3/s,3.441,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-03 00:00,m^3/s,5.006,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-04 00:00,m^3/s,3.496,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-05 00:00,m^3/s,3.517,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-06 00:00,m^3/s,4.019,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-07 00:00,m^3/s,3.563,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-08 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-09 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-10 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-11 00:00,m^3/s,3.559,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-12 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-13 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-14 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-15 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-16 00:00,m^3/s,3.336,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-17 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-18 00:00,m^3/s,3.105,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-19 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-20 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-21 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-22 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-23 00:00,m^3/s,3.105,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-24 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-25 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-26 00:00,m^3/s,2.995,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-27 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-28 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-29 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-06-30 00:00,m^3/s,2.995,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-01 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-02 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-03 00:00,m^3/s,2.885,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-04 00:00,m^3/s,2.995,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-05 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-06 00:00,m^3/s,3.325,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-07 00:00,m^3/s,4.814,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-08 00:00,m^3/s,4.173,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-09 00:00,m^3/s,3.807,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-10 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-11 00:00,m^3/s,2.885,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-12 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-13 00:00,m^3/s,3.126,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-14 00:00,m^3/s,3.219,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-15 00:00,m^3/s,3.58,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-16 00:00,m^3/s,4.359,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-17 00:00,m^3/s,4.149,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-18 00:00,m^3/s,3.868,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-19 00:00,m^3/s,3.502,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-20 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-21 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-22 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-23 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-24 00:00,m^3/s,3.275,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-25 00:00,m^3/s,3.05,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-26 00:00,m^3/s,3.963,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-27 00:00,m^3/s,4.341,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-28 00:00,m^3/s,3.624,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-29 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-30 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-07-31 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-01 00:00,m^3/s,3.112,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-02 00:00,m^3/s,3.325,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-03 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-04 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-05 00:00,m^3/s,3.201,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-06 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-07 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-08 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-09 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-10 00:00,m^3/s,2.94,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-11 00:00,m^3/s,3.16,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-12 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-13 00:00,m^3/s,3.38,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-14 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-15 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-16 00:00,m^3/s,3.325,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-17 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-18 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-19 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-20 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-21 00:00,m^3/s,3.215,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-22 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-23 00:00,m^3/s,3.201,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-24 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-25 00:00,m^3/s,3.27,Preliminar
21117100,PUEBLO NUEVO - AUT [21117100],CAUDAL,Caudal medio diario,2010-08-26 00:00,m^3/s,3.38,Preliminar
